Age,Customer ID,Date Joined,Dummy,Gender,Job Classification,Name,Region,Surname,Balance,Number of Records
30,100000095,16.Mar.15,dummy,Female,White Collar,Rebecca,England,Knox,55046.35,1
28,100000096,16.Mar.15,dummy,Male,White Collar,Joshua,England,Slater,67479.01,1
38,100000097,16.Mar.15,dummy,Female,Blue Collar,Heather,England,Wallace,61890.85,1
36,100000098,16.Mar.15,dummy,Female,White Collar,Maria,England,Johnston,1430.6,1
40,200000099,16.Mar.15,dummy,Male,Blue Collar,Robert,Scotland,May,5456.86,1
56,200000100,16.Mar.15,dummy,Female,Other,Carolyn,Scotland,Robertson,13251.27,1
51,200000101,16.Mar.15,dummy,Male,Blue Collar,Stewart,Scotland,Lewis,119014.87,1
44,200000102,16.Mar.15,dummy,Female,White Collar,Emma,Scotland,Piper,18829.79,1
55,200000103,16.Mar.15,dummy,Female,White Collar,Nicola,Scotland,Powell,35939.04,1
57,200000104,16.Mar.15,dummy,Female,Other,Diana,Scotland,McDonald,22686,1
48,200000105,16.Mar.15,dummy,Male,White Collar,Stephen,Scotland,Ross,85108.08,1
54,200000106,16.Mar.15,dummy,Female,Other,Ella,Scotland,Bond,44973.03,1
36,200000107,16.Mar.15,dummy,Male,Blue Collar,Ian,Scotland,Wilson,12616.44,1
48,200000108,16.Mar.15,dummy,Male,Blue Collar,Piers,Scotland,Quinn,23910.87,1
63,200000109,16.Mar.15,dummy,Male,Other,Joe,Scotland,Forsyth,73461.71,1
63,200000110,16.Mar.15,dummy,Male,Blue Collar,Tim,Scotland,Jones,26474.23,1
25,300000111,16.Mar.15,dummy,Female,Other,Sonia,Wales,Robertson,70799.64,1
26,300000112,16.Mar.15,dummy,Male,White Collar,Nathan,Wales,Paterson,20627.65,1
29,400000113,16.Mar.15,dummy,Male,White Collar,Tim,Northern Ireland,Hardacre,82229.52,1
18,400000114,16.Mar.15,dummy,Female,Other,Fiona,Northern Ireland,Mills,51171.29,1
43,400000115,16.Mar.15,dummy,Female,Blue Collar,Ruth,Northern Ireland,Oliver,37889.38,1
36,100000116,19.Mar.15,dummy,Female,Other,Alison,England,Johnston,21806.3,1
40,100000117,25.Mar.15,dummy,Female,Other,Amy,England,McGrath,12415.5,1
52,200000118,28.Mar.15,dummy,Male,Other,Adam,Scotland,McGrath,67682.92,1
18,100000119,31.Mar.15,dummy,Female,White Collar,Vanessa,England,Lyman,33524.41,1
31,100000120,31.Mar.15,dummy,Female,White Collar,Andrea,England,Dickens,136370.38,1
37,100000121,31.Mar.15,dummy,Male,White Collar,Ian,England,Slater,39159.35,1
25,100000122,31.Mar.15,dummy,Male,Other,Jacob,England,Payne,3738.1,1
50,100000123,31.Mar.15,dummy,Male,White Collar,Harry,England,Short,43234.21,1
39,100000124,01.Apr.15,dummy,Male,Other,John,England,Black,111149.47,1
27,100000125,01.Apr.15,dummy,Male,White Collar,Jonathan,England,MacDonald,12312.49,1
42,100000126,01.Apr.15,dummy,Male,White Collar,Benjamin,England,Blake,55661.5,1
27,100000127,01.Apr.15,dummy,Female,White Collar,Emma,England,Fraser,10481.48,1
41,100000128,01.Apr.15,dummy,Female,White Collar,Virginia,England,Berry,4347.79,1
47,100000129,01.Apr.15,dummy,Male,White Collar,Peter,England,Pullman,15093.04,1
27,100000130,01.Apr.15,dummy,Female,White Collar,Alison,England,MacLeod,27738.77,1
41,100000131,01.Apr.15,dummy,Female,White Collar,Anna,England,Wright,27557.08,1
20,100000132,01.Apr.15,dummy,Male,Blue Collar,James,England,Marshall,9578.65,1
38,100000133,02.Apr.15,dummy,Female,White Collar,Ruth,England,Bower,40456.97,1
34,100000134,02.Apr.15,dummy,Male,Blue Collar,Owen,England,Powell,44744.24,1
42,100000135,02.Apr.15,dummy,Male,White Collar,Piers,England,King,56652.56,1
26,100000136,02.Apr.15,dummy,Male,White Collar,Christopher,England,Mackenzie,12994.18,1
43,100000137,02.Apr.15,dummy,Female,White Collar,Sarah,England,Wallace,42207.46,1
37,100000138,02.Apr.15,dummy,Male,White Collar,Richard,England,Hemmings,10704.25,1
40,100000139,02.Apr.15,dummy,Female,White Collar,Nicola,England,Rampling,57140.07,1
57,200000140,02.Apr.15,dummy,Male,Blue Collar,Keith,Scotland,Harris,40510.36,1
45,100000141,03.Apr.15,dummy,Female,White Collar,Angela,England,Wright,36584.21,1
23,100000142,03.Apr.15,dummy,Male,White Collar,Sam,England,Russell,10249.56,1
45,100000143,03.Apr.15,dummy,Male,Other,Luke,England,Ball,40379.31,1
26,100000144,03.Apr.15,dummy,Male,White Collar,Sean,England,Bell,4539.24,1
37,100000145,04.Apr.15,dummy,Male,White Collar,Steven,England,Ball,89120.92,1
41,100000146,05.Apr.15,dummy,Male,White Collar,Andrew,England,Gray,51707.8,1
33,100000147,05.Apr.15,dummy,Male,White Collar,Jacob,England,Metcalfe,4940.82,1
37,100000148,05.Apr.15,dummy,Female,White Collar,Madeleine,England,Ogden,48405.93,1
33,100000149,05.Apr.15,dummy,Male,White Collar,Dylan,England,Davies,32467.1,1
29,100000150,05.Apr.15,dummy,Female,White Collar,Michelle,England,Lee,4020.51,1
33,100000151,05.Apr.15,dummy,Male,White Collar,Connor,England,Grant,5160.27,1
32,100000152,05.Apr.15,dummy,Male,White Collar,Justin,England,Metcalfe,51576.88,1
36,100000153,05.Apr.15,dummy,Female,White Collar,Elizabeth,England,Oliver,57019.91,1
46,100000154,05.Apr.15,dummy,Male,White Collar,Kevin,England,Powell,57365.32,1
33,100000155,05.Apr.15,dummy,Male,Blue Collar,Tim,England,Arnold,1455.6,1
24,100000156,05.Apr.15,dummy,Male,Other,Charles,England,Roberts,36256.2,1
32,100000157,05.Apr.15,dummy,Male,White Collar,Anthony,England,Cornish,24927.39,1
26,100000158,05.Apr.15,dummy,Male,White Collar,Michael,England,Powell,1009.69,1
30,100000159,05.Apr.15,dummy,Male,White Collar,Lucas,England,Lawrence,21871.43,1
38,100000160,05.Apr.15,dummy,Male,White Collar,Alexander,England,Walker,7602.94,1
42,100000161,05.Apr.15,dummy,Female,White Collar,Diana,England,Powell,2337,1
36,100000162,05.Apr.15,dummy,Female,Other,Emma,England,Peters,61541.83,1
39,100000163,05.Apr.15,dummy,Female,White Collar,Amanda,England,Morgan,4120.66,1
59,200000164,05.Apr.15,dummy,Female,Other,Claire,Scotland,Walsh,67524.87,1
52,200000165,05.Apr.15,dummy,Male,Blue Collar,Paul,Scotland,Harris,4371.98,1
51,200000166,05.Apr.15,dummy,Male,Blue Collar,William,Scotland,Mitchell,10229.63,1
24,300000167,05.Apr.15,dummy,Male,Blue Collar,Cameron,Wales,Ross,19064.65,1
30,300000168,05.Apr.15,dummy,Female,White Collar,Pippa,Wales,Wilson,30846.82,1
39,100000169,06.Apr.15,dummy,Male,Blue Collar,Blake,England,Mills,71396.66,1
32,100000170,06.Apr.15,dummy,Female,Other,Natalie,England,Morrison,3290.79,1
38,100000171,06.Apr.15,dummy,Male,White Collar,John,England,Hughes,13181.22,1
42,100000172,06.Apr.15,dummy,Male,Blue Collar,Nicholas,England,Greene,62923.29,1
26,100000173,06.Apr.15,dummy,Female,White Collar,Hannah,England,Thomson,93353.93,1
31,100000174,06.Apr.15,dummy,Female,White Collar,Penelope,England,Glover,46078.71,1
31,100000175,06.Apr.15,dummy,Male,White Collar,Max,England,Stewart,15986.62,1
25,100000176,06.Apr.15,dummy,Female,White Collar,Wendy,England,Gill,27384.85,1
35,100000177,06.Apr.15,dummy,Male,White Collar,Thomas,England,Bailey,70349.32,1
33,100000178,06.Apr.15,dummy,Male,Blue Collar,Dan,England,Piper,60748.04,1
24,100000179,06.Apr.15,dummy,Male,Blue Collar,Dan,England,Metcalfe,52862.29,1
29,400000180,06.Apr.15,dummy,Male,Blue Collar,Eric,Northern Ireland,Bower,20516.51,1
32,100000181,07.Apr.15,dummy,Female,White Collar,Mary,England,Watson,99806.54,1
36,100000182,07.Apr.15,dummy,Male,White Collar,Austin,England,Ball,21236.23,1
31,100000183,07.Apr.15,dummy,Male,White Collar,Christian,England,Piper,115312.87,1
33,100000184,07.Apr.15,dummy,Male,Other,Peter,England,McGrath,80564.87,1
40,100000185,07.Apr.15,dummy,Male,Other,Cameron,England,Short,21351.4,1
51,200000186,07.Apr.15,dummy,Female,Other,Sue,Scotland,Ellison,58953.83,1
46,100000187,08.Apr.15,dummy,Female,White Collar,Emma,England,Parr,40685.39,1
29,100000188,08.Apr.15,dummy,Female,White Collar,Pippa,England,Mathis,22659.88,1
40,100000189,08.Apr.15,dummy,Female,White Collar,Wendy,England,Morrison,9431.04,1
25,100000190,08.Apr.15,dummy,Female,Other,Vanessa,England,Avery,58714.66,1
51,200000191,08.Apr.15,dummy,Male,Blue Collar,Jason,Scotland,Fisher,1239.6,1
39,100000192,09.Apr.15,dummy,Male,White Collar,Oliver,England,Blake,48396.17,1
44,100000193,10.Apr.15,dummy,Female,Other,Jane,England,Wright,12283.3,1
40,100000194,10.Apr.15,dummy,Male,White Collar,James,England,McGrath,29331.41,1
35,100000195,10.Apr.15,dummy,Female,White Collar,Amanda,England,Young,16390.11,1
32,100000196,10.Apr.15,dummy,Female,White Collar,Jennifer,England,Slater,87203.66,1
38,100000197,11.Apr.15,dummy,Male,Blue Collar,Blake,England,Ross,3141.6,1
29,100000198,11.Apr.15,dummy,Male,White Collar,Tim,England,North,2299.26,1
31,100000199,11.Apr.15,dummy,Female,Blue Collar,Jasmine,England,Terry,44162.06,1
47,100000200,11.Apr.15,dummy,Female,White Collar,Karen,England,Mackenzie,90868.86,1
34,100000201,12.Apr.15,dummy,Male,Other,Oliver,England,Dickens,37985.15,1
37,100000202,12.Apr.15,dummy,Female,White Collar,Fiona,England,Underwood,54630.38,1
40,100000203,12.Apr.15,dummy,Female,White Collar,Yvonne,England,Arnold,60648.52,1
26,100000204,12.Apr.15,dummy,Female,White Collar,Fiona,England,Vance,18894.19,1
25,100000205,12.Apr.15,dummy,Female,Blue Collar,Anna,England,Lee,79603.36,1
36,100000206,12.Apr.15,dummy,Female,White Collar,Wanda,England,Short,109026.81,1
41,100000207,12.Apr.15,dummy,Male,White Collar,Blake,England,Berry,73998.37,1
39,100000208,12.Apr.15,dummy,Male,White Collar,Phil,England,Lewis,3734.24,1
39,100000209,12.Apr.15,dummy,Male,Blue Collar,Christian,England,Sharp,23322.33,1
44,200000210,12.Apr.15,dummy,Male,Blue Collar,Blake,Scotland,Rutherford,64482.16,1
39,100000211,13.Apr.15,dummy,Male,White Collar,Robert,England,Wright,52505.16,1
34,100000212,13.Apr.15,dummy,Male,White Collar,Eric,England,North,16569.82,1
29,100000213,13.Apr.15,dummy,Female,Blue Collar,Tracey,England,Grant,21065.22,1
21,100000214,13.Apr.15,dummy,Female,Other,Faith,England,McDonald,13487.9,1
39,100000215,13.Apr.15,dummy,Male,Blue Collar,Alan,England,Murray,34338.84,1
38,100000216,13.Apr.15,dummy,Male,White Collar,Nathan,England,Turner,48146.54,1
28,100000217,13.Apr.15,dummy,Female,White Collar,Carolyn,England,Hart,27008.87,1
29,100000218,14.Apr.15,dummy,Female,White Collar,Theresa,England,Grant,29907.72,1
25,100000219,14.Apr.15,dummy,Male,White Collar,Alexander,England,Ince,31660.86,1
38,100000220,14.Apr.15,dummy,Female,Other,Maria,England,Simpson,33509.17,1
45,100000221,14.Apr.15,dummy,Female,Blue Collar,Sally,England,Arnold,2575.63,1
33,100000222,14.Apr.15,dummy,Female,White Collar,Jessica,England,Morrison,4072.58,1
32,100000223,14.Apr.15,dummy,Male,White Collar,Lucas,England,Langdon,15375.41,1
43,100000224,14.Apr.15,dummy,Male,White Collar,Christian,England,Baker,18103.72,1
31,100000225,14.Apr.15,dummy,Male,White Collar,Piers,England,White,63230.57,1
40,100000226,14.Apr.15,dummy,Male,White Collar,Gordon,England,Fraser,9875.43,1
29,100000227,15.Apr.15,dummy,Male,Other,Connor,England,Gill,106172.13,1
37,100000228,15.Apr.15,dummy,Female,White Collar,Virginia,England,Howard,4611.5,1
36,100000229,15.Apr.15,dummy,Female,White Collar,Yvonne,England,Johnston,42635.27,1
42,100000230,15.Apr.15,dummy,Male,White Collar,Dan,England,Terry,51923.76,1
45,100000231,15.Apr.15,dummy,Female,White Collar,Audrey,England,McGrath,39249.25,1
41,100000232,15.Apr.15,dummy,Male,Blue Collar,Trevor,England,King,57762.79,1
42,100000233,16.Apr.15,dummy,Male,White Collar,Stewart,England,Pullman,63869.71,1
42,100000234,16.Apr.15,dummy,Male,White Collar,Brian,England,Mackay,10199.66,1
40,100000235,16.Apr.15,dummy,Female,White Collar,Jessica,England,James,47518.92,1
43,100000236,16.Apr.15,dummy,Female,White Collar,Carol,England,Blake,25542.15,1
43,100000237,16.Apr.15,dummy,Female,White Collar,Alison,England,Hudson,23887.45,1
27,300000238,16.Apr.15,dummy,Female,Other,Dorothy,Wales,Miller,39264.03,1
35,100000239,17.Apr.15,dummy,Female,White Collar,Natalie,England,Welch,11880.47,1
32,100000240,17.Apr.15,dummy,Male,White Collar,John,England,Baker,50658.95,1
43,100000241,17.Apr.15,dummy,Male,White Collar,Oliver,England,Powell,14946.79,1
34,100000242,17.Apr.15,dummy,Female,Blue Collar,Amanda,England,Rees,57148.41,1
47,100000243,17.Apr.15,dummy,Male,Blue Collar,Paul,England,Davies,116144.95,1
39,100000244,17.Apr.15,dummy,Male,White Collar,Brian,England,Short,45135.16,1
31,100000245,17.Apr.15,dummy,Male,White Collar,Matt,England,Graham,9867.56,1
30,100000246,17.Apr.15,dummy,Male,White Collar,Justin,England,Paterson,4442.71,1
33,100000247,17.Apr.15,dummy,Female,White Collar,Claire,England,Dickens,14380.27,1
37,100000248,17.Apr.15,dummy,Male,White Collar,James,England,Miller,4263.53,1
43,100000249,17.Apr.15,dummy,Male,White Collar,Brandon,England,Bower,32667.33,1
30,100000250,17.Apr.15,dummy,Female,Blue Collar,Amelia,England,Mathis,13407.54,1
33,100000251,17.Apr.15,dummy,Female,White Collar,Fiona,England,Jones,57127.03,1
30,100000252,17.Apr.15,dummy,Male,White Collar,Nicholas,England,Lyman,74588.31,1
29,100000253,17.Apr.15,dummy,Female,White Collar,Lauren,England,Ball,41237.66,1
34,100000254,17.Apr.15,dummy,Male,White Collar,Stewart,England,Rees,20276.52,1
36,100000255,17.Apr.15,dummy,Female,Blue Collar,Diane,England,Henderson,20379,1
46,200000256,17.Apr.15,dummy,Male,Blue Collar,Julian,Scotland,Peake,29487.25,1
36,200000257,17.Apr.15,dummy,Male,Blue Collar,Justin,Scotland,Underwood,79483.58,1
54,200000258,17.Apr.15,dummy,Male,Other,Owen,Scotland,McGrath,2112.92,1
50,200000259,17.Apr.15,dummy,Female,Other,Alison,Scotland,Taylor,18160.49,1
45,200000260,17.Apr.15,dummy,Male,Blue Collar,Harry,Scotland,Walsh,26059.74,1
47,200000261,17.Apr.15,dummy,Male,Blue Collar,Nathan,Scotland,Howard,19177.31,1
59,200000262,17.Apr.15,dummy,Female,Other,Zoe,Scotland,Clarkson,23550.89,1
41,200000263,17.Apr.15,dummy,Female,Other,Gabrielle,Scotland,Marshall,87758.52,1
48,200000264,17.Apr.15,dummy,Female,Other,Lily,Scotland,Davies,10577.52,1
52,200000265,17.Apr.15,dummy,Male,Blue Collar,Tim,Scotland,Sanderson,45213.63,1
28,200000266,17.Apr.15,dummy,Female,Other,Karen,Scotland,Oliver,13162.58,1
55,200000267,17.Apr.15,dummy,Male,Other,Luke,Scotland,MacLeod,36993.45,1
28,300000268,17.Apr.15,dummy,Male,Blue Collar,James,Wales,Oliver,67180.28,1
42,300000269,17.Apr.15,dummy,Female,Other,Gabrielle,Wales,Powell,44094.63,1
63,300000270,17.Apr.15,dummy,Female,Other,Heather,Wales,Black,27020.99,1
30,300000271,17.Apr.15,dummy,Male,White Collar,Carl,Wales,Abraham,28912.8,1
25,400000272,17.Apr.15,dummy,Female,White Collar,Rose,Northern Ireland,Blake,48997.63,1
41,100000273,18.Apr.15,dummy,Male,White Collar,Jake,England,Skinner,41250.67,1
34,100000274,18.Apr.15,dummy,Female,Other,Rose,England,Russell,111818.28,1
42,100000275,19.Apr.15,dummy,Male,White Collar,Victor,England,Avery,10114.95,1
30,100000276,19.Apr.15,dummy,Male,Blue Collar,Brandon,England,Miller,14034.12,1
37,100000277,19.Apr.15,dummy,Female,White Collar,Maria,England,Arnold,57574.38,1
30,100000278,19.Apr.15,dummy,Female,Blue Collar,Irene,England,Vaughan,71596.18,1
42,100000279,19.Apr.15,dummy,Male,White Collar,Blake,England,Alsop,32187.62,1
31,100000280,19.Apr.15,dummy,Female,Other,Stephanie,England,Ogden,717.13,1
37,100000281,19.Apr.15,dummy,Male,Blue Collar,Sam,England,Parsons,103875.81,1
29,100000282,20.Apr.15,dummy,Female,White Collar,Theresa,England,Marshall,70403.65,1
34,100000283,20.Apr.15,dummy,Female,White Collar,Stephanie,England,Smith,12559.26,1
30,100000284,20.Apr.15,dummy,Female,White Collar,Lily,England,Hughes,7136.47,1
34,100000285,21.Apr.15,dummy,Male,White Collar,Matt,England,Black,51792.13,1
31,100000286,21.Apr.15,dummy,Female,Other,Ruth,England,Lambert,96203.49,1
41,100000287,21.Apr.15,dummy,Male,White Collar,Peter,England,Lyman,64731.46,1
37,100000288,21.Apr.15,dummy,Male,White Collar,Liam,England,King,37857,1
32,100000289,22.Apr.15,dummy,Female,White Collar,Olivia,England,Peake,51470.09,1
40,100000290,22.Apr.15,dummy,Male,White Collar,Joe,England,May,70357.61,1
21,100000291,22.Apr.15,dummy,Female,White Collar,Wanda,England,Quinn,5470.79,1
40,100000292,22.Apr.15,dummy,Female,White Collar,Karen,England,Glover,25248.37,1
45,100000293,22.Apr.15,dummy,Male,Other,Nathan,England,Bond,65116.98,1
27,100000294,22.Apr.15,dummy,Male,Other,Brandon,England,Morgan,23668.42,1
45,200000295,22.Apr.15,dummy,Male,Blue Collar,Tim,Scotland,Thomson,16423.75,1
31,100000296,23.Apr.15,dummy,Female,White Collar,Penelope,England,Clarkson,50533.23,1
33,100000297,23.Apr.15,dummy,Female,White Collar,Sophie,England,Thomson,152.91,1
26,100000298,23.Apr.15,dummy,Female,White Collar,Anna,England,James,14758.38,1
40,100000299,23.Apr.15,dummy,Female,White Collar,Zoe,England,Johnston,14730.54,1
53,200000300,23.Apr.15,dummy,Male,Blue Collar,Owen,Scotland,Smith,64309.53,1
41,200000301,23.Apr.15,dummy,Male,Blue Collar,Joseph,Scotland,Robertson,99190.79,1
30,300000302,23.Apr.15,dummy,Male,Blue Collar,William,Wales,Wilkins,13597.9,1
42,100000303,24.Apr.15,dummy,Male,Blue Collar,Brian,England,Russell,122903.78,1
42,100000304,24.Apr.15,dummy,Female,White Collar,Andrea,England,Jackson,30474.69,1
29,100000305,24.Apr.15,dummy,Male,White Collar,Kevin,England,Springer,8802.24,1
32,100000306,24.Apr.15,dummy,Male,White Collar,Phil,England,Grant,60487.89,1
33,100000307,24.Apr.15,dummy,Male,Blue Collar,Adrian,England,Hill,2457.4,1
43,100000308,24.Apr.15,dummy,Male,White Collar,John,England,Campbell,33311.31,1
30,100000309,24.Apr.15,dummy,Male,White Collar,Alexander,England,Edmunds,21296.27,1
